,DWJZ,FSRQ,JZZZL,LJJZ
9,1.0760,2019-01-07,1.03,2.6130
10,1.0650,2019-01-04,1.91,2.6020
11,1.0450,2019-01-03,-1.42,2.5820
12,1.0600,2019-01-02,-2.03,2.5970
13,1.0820,2018-12-31,,2.6190
14,1.0820,2018-12-28,1.50,2.6190
15,1.0660,2018-12-27,-0.28,2.6030
16,1.0690,2018-12-26,-0.65,2.6060
17,1.0760,2018-12-25,-0.19,2.6130
18,1.0780,2018-12-24,1.32,2.6150
19,1.0640,2018-12-21,-1.02,2.6010
0,1.0750,2018-12-20,0.09,2.6120
1,1.0740,2018-12-19,-2.01,2.6110
2,1.0960,2018-12-18,-0.36,2.6330
3,1.1000,2018-12-17,-0.54,2.6370
4,1.1060,2018-12-14,-1.60,2.6430
5,1.1240,2018-12-13,1.72,2.6610
6,1.1050,2018-12-12,0.91,2.6420
7,1.0950,2018-12-11,0.18,2.6320
8,1.0930,2018-12-10,-1.00,2.6300
9,1.1040,2018-12-07,-0.81,2.6410
10,1.1130,2018-12-06,-2.45,2.6500
11,1.1410,2018-12-05,0.88,2.6780
12,1.1310,2018-12-04,0.35,2.6680
13,1.1270,2018-12-03,3.39,2.6640
14,1.0900,2018-11-30,1.40,2.6270
15,1.0750,2018-11-29,-0.09,2.6120
16,1.0760,2018-11-28,1.51,2.6130
17,1.0600,2018-11-27,-0.66,2.5970
18,1.0670,2018-11-26,-0.19,2.6040
19,1.0690,2018-11-23,-1.29,2.6060
0,1.0830,2018-11-22,-0.18,2.6200
1,1.0850,2018-11-21,0.56,2.6220
2,1.0790,2018-11-20,-2.18,2.6160
3,1.1030,2018-11-19,0.55,2.6400
4,1.0970,2018-11-16,0.00,2.6340
5,1.0970,2018-11-15,0.18,2.6340
6,1.0950,2018-11-14,-0.99,2.6320
7,1.1060,2018-11-13,2.69,2.6430
8,1.0770,2018-11-12,0.56,2.6140
9,1.0710,2018-11-09,-0.74,2.6080
10,1.0790,2018-11-08,-0.19,2.6160
11,1.0810,2018-11-07,-0.64,2.6180
12,1.0880,2018-11-06,-0.64,2.6250
13,1.0950,2018-11-05,-1.26,2.6320
14,1.1090,2018-11-02,4.52,2.6460
15,1.0610,2018-11-01,1.92,2.5980
16,1.0410,2018-10-31,2.97,2.5780
17,1.0110,2018-10-30,-1.27,2.5480
18,1.0240,2018-10-29,-4.66,2.5610
19,1.0740,2018-10-26,-1.74,2.6110
0,1.0930,2018-10-25,-1.53,2.6300
1,1.1100,2018-10-24,-1.51,2.6470
2,1.1270,2018-10-23,-3.84,2.6640
3,1.1720,2018-10-22,4.09,2.7090
4,1.1260,2018-10-19,3.59,2.6630
5,1.0870,2018-10-18,-2.51,2.6240
6,1.1150,2018-10-17,0.27,2.6520
7,1.1120,2018-10-16,-0.89,2.6490
8,1.1220,2018-10-15,-2.01,2.6590
9,1.1450,2018-10-12,2.51,2.6820
10,1.1170,2018-10-11,-3.21,2.6540
11,1.1540,2018-10-10,-1.54,2.6910
12,1.1720,2018-10-09,0.17,2.7090
13,1.1700,2018-10-08,-4.18,2.7070
14,1.2210,2018-09-28,0.66,2.7580
15,1.2130,2018-09-27,-0.33,2.7500
16,1.2170,2018-09-26,2.35,2.7540
17,1.1890,2018-09-25,-0.17,2.7260
18,1.1910,2018-09-21,2.58,2.7280
19,1.1610,2018-09-20,0.35,2.6980
0,1.1570,2018-09-19,2.75,2.6940
1,1.1260,2018-09-18,2.18,2.6630
2,1.1020,2018-09-17,-0.72,2.6390
3,1.1100,2018-09-14,0.82,2.6470
4,1.1010,2018-09-13,-0.18,2.6380
5,1.1030,2018-09-12,-1.61,2.6400
6,1.1210,2018-09-11,-0.09,2.6580
7,1.1220,2018-09-10,-0.62,2.6590
8,1.1290,2018-09-07,1.35,2.6660
9,1.1140,2018-09-06,-1.68,2.6510
10,1.1330,2018-09-05,-2.16,2.6700
11,1.1580,2018-09-04,0.70,2.6950
12,1.1500,2018-09-03,0.00,2.6870
13,1.1500,2018-08-31,-2.04,2.6870
14,1.1740,2018-08-30,-0.42,2.7110
15,1.1790,2018-08-29,-0.42,2.7160
16,1.1840,2018-08-28,-0.59,2.7210
17,1.1910,2018-08-27,3.12,2.7280
18,1.1550,2018-08-24,-0.26,2.6920
19,1.1580,2018-08-23,0.17,2.6950
0,1.1560,2018-08-22,-1.11,2.6930
1,1.1690,2018-08-21,3.18,2.7060
2,1.1330,2018-08-20,0.27,2.6700
3,1.1300,2018-08-17,-1.57,2.6670
4,1.1480,2018-08-16,-2.46,2.6850
5,1.1770,2018-08-15,-2.89,2.7140
6,1.2120,2018-08-14,-0.08,2.7490
7,1.2130,2018-08-13,-0.49,2.7500
8,1.2190,2018-08-10,0.66,2.7560
9,1.2110,2018-08-09,3.42,2.7480
10,1.1710,2018-08-08,-2.82,2.7080
11,1.2050,2018-08-07,2.21,2.7420
12,1.1790,2018-08-06,-2.88,2.7160
13,1.2140,2018-08-03,-2.41,2.7510
14,1.2440,2018-08-02,-2.74,2.7810
15,1.2790,2018-08-01,-2.52,2.8160
16,1.3120,2018-07-31,0.61,2.8490
17,1.3040,2018-07-30,-1.73,2.8410
18,1.3270,2018-07-27,-0.30,2.8640
19,1.3310,2018-07-26,-0.89,2.8680
0,1.3430,2018-07-25,-0.67,2.8800
1,1.3520,2018-07-24,2.19,2.8890
2,1.3230,2018-07-23,-0.68,2.8600
3,1.3320,2018-07-20,0.38,2.8690
4,1.3270,2018-07-19,-0.67,2.8640
5,1.3360,2018-07-18,-0.96,2.8730
6,1.3490,2018-07-17,-1.17,2.8860
7,1.3650,2018-07-16,0.15,2.9020
8,1.3630,2018-07-13,2.02,2.9000
9,1.3360,2018-07-12,2.06,2.8730
10,1.3090,2018-07-11,-1.13,2.8460
11,1.3240,2018-07-10,0.38,2.8610
12,1.3190,2018-07-09,3.78,2.8560
13,1.2710,2018-07-06,0.87,2.8080
14,1.2600,2018-07-05,-1.72,2.7970
15,1.2820,2018-07-04,-1.23,2.8190
16,1.2980,2018-07-03,-2.04,2.8350
17,1.3250,2018-07-02,-1.85,2.8620
18,1.3500,2018-06-30,,2.8870
19,1.3500,2018-06-29,3.21,2.8870
0,1.3080,2018-06-28,-2.10,2.8450
1,1.3360,2018-06-27,-2.77,2.8730
2,1.3740,2018-06-26,-1.22,2.9110
3,1.3910,2018-06-25,0.00,2.9280
4,1.3910,2018-06-22,0.51,2.9280
5,1.3840,2018-06-21,-0.86,2.9210
6,1.3960,2018-06-20,2.12,2.9330
7,1.3670,2018-06-19,-3.39,2.9040
8,1.4150,2018-06-15,-0.28,2.9520
9,1.4190,2018-06-14,-2.00,2.9560
10,1.4480,2018-06-13,-0.69,2.9850
11,1.4580,2018-06-12,3.26,2.9950
12,1.4120,2018-06-11,-0.98,2.9490
13,1.4260,2018-06-08,-0.90,2.9630
14,1.4390,2018-06-07,-0.90,2.9760
15,1.4520,2018-06-06,0.28,2.9890
16,1.4480,2018-06-05,1.26,2.9850
17,1.4300,2018-06-04,1.71,2.9670
18,1.4060,2018-06-01,-1.47,2.9430
19,1.4270,2018-05-31,2.66,2.9640
0,1.3900,2018-05-30,0.36,2.9270
1,1.3850,2018-05-29,-0.79,2.9220
2,1.3960,2018-05-28,2.20,2.9330
3,1.3660,2018-05-25,0.66,2.9030
4,1.3570,2018-05-24,-0.15,2.8940
5,1.3590,2018-05-23,-1.59,2.8960
6,1.3810,2018-05-22,0.44,2.9180
7,1.3750,2018-05-21,-0.43,2.9120
8,1.3810,2018-05-18,0.80,2.9180
9,1.3700,2018-05-17,-1.15,2.9070
10,1.3860,2018-05-16,0.00,2.9230
11,1.3860,2018-05-15,0.73,2.9230
12,1.3760,2018-05-14,1.33,2.9130
13,1.3580,2018-05-11,-0.95,2.8950
14,1.3710,2018-05-10,1.03,2.9080
15,1.3570,2018-05-09,0.15,2.8940
16,1.3550,2018-05-08,0.82,2.8920
17,1.3440,2018-05-07,2.67,2.8810
18,1.3090,2018-05-04,0.85,2.8460
19,1.2980,2018-05-03,1.01,2.8350
0,1.2850,2018-05-02,1.66,2.8220
1,1.2640,2018-04-27,-0.47,2.8010
2,1.2700,2018-04-26,-2.31,2.8070
3,1.3000,2018-04-25,0.93,2.8370
4,1.2880,2018-04-24,2.88,2.8250
5,1.2520,2018-04-23,-1.03,2.7890
6,1.2650,2018-04-20,-0.55,2.8020
7,1.2720,2018-04-19,1.60,2.8090
8,1.2520,2018-04-18,0.24,2.7890
9,1.2490,2018-04-17,-2.12,2.7860
10,1.2760,2018-04-16,-0.47,2.8130
11,1.2820,2018-04-13,-1.23,2.8190
12,1.2980,2018-04-12,-0.61,2.8350
13,1.3060,2018-04-11,1.01,2.8430
14,1.2930,2018-04-10,1.81,2.8300
15,1.2700,2018-04-09,-0.78,2.8070
16,1.2800,2018-04-04,1.35,2.8170
17,1.2630,2018-04-03,0.56,2.8000
18,1.2560,2018-04-02,-0.16,2.7930
19,1.2580,2018-03-30,0.64,2.7950
0,1.2500,2018-03-29,2.63,2.7870
1,1.2180,2018-03-28,-3.10,2.7550
2,1.2570,2018-03-27,0.16,2.7940
3,1.2550,2018-03-26,0.24,2.7920
4,1.2520,2018-03-23,-1.88,2.7890
5,1.2760,2018-03-22,-2.00,2.8130
6,1.3020,2018-03-21,-0.84,2.8390
7,1.3130,2018-03-20,-0.08,2.8500
8,1.3140,2018-03-19,-0.08,2.8510
9,1.3150,2018-03-16,-1.05,2.8520
10,1.3290,2018-03-15,1.22,2.8660
11,1.3130,2018-03-14,0.15,2.8500
12,1.3110,2018-03-13,-0.91,2.8480
13,1.3230,2018-03-12,-0.15,2.8600
14,1.3250,2018-03-09,0.99,2.8620
15,1.3120,2018-03-08,1.94,2.8490
16,1.2870,2018-03-07,-0.23,2.8240
17,1.2900,2018-03-06,0.78,2.8270
18,1.2800,2018-03-05,-1.39,2.8170
19,1.2980,2018-03-02,-0.31,2.8350
0,1.3020,2018-03-01,0.85,2.8390
1,1.2910,2018-02-28,-0.92,2.8280
2,1.3030,2018-02-27,-2.03,2.8400
3,1.3300,2018-02-26,0.08,2.8670
4,1.3290,2018-02-23,-0.30,2.8660
5,1.3330,2018-02-22,2.70,2.8700
6,1.2980,2018-02-14,1.72,2.8350
7,1.2760,2018-02-13,0.79,2.8130
8,1.2660,2018-02-12,3.77,2.8030
9,1.2200,2018-02-09,-2.71,2.7570
10,1.2540,2018-02-08,2.20,2.7910
11,1.2270,2018-02-07,-3.61,2.7640
12,1.2730,2018-02-06,-2.08,2.8100
13,1.3000,2018-02-05,-2.55,2.8370
14,1.3340,2018-02-02,-0.37,2.8710
15,1.3390,2018-02-01,-2.33,2.8760
16,1.3710,2018-01-31,1.26,2.9080
17,1.3540,2018-01-30,-0.51,2.8910
18,1.3610,2018-01-29,-2.86,2.8980
19,1.4010,2018-01-26,0.72,2.9380
0,1.3910,2018-01-25,-0.29,2.9280
1,1.3950,2018-01-24,-0.92,2.9320
2,1.4080,2018-01-23,0.64,2.9450
3,1.3990,2018-01-22,3.71,2.9360
4,1.3490,2018-01-19,-1.75,2.8860
5,1.5460,2018-01-18,0.59,2.9130
6,1.5370,2018-01-17,-2.16,2.9040
7,1.5710,2018-01-16,0.90,2.9380
8,1.5570,2018-01-15,-0.26,2.9240
9,1.5610,2018-01-12,1.04,2.9280
10,1.5450,2018-01-11,-0.39,2.9120
11,1.5510,2018-01-10,0.78,2.9180
12,1.5390,2018-01-09,2.53,2.9060
13,1.5010,2018-01-08,1.15,2.8680
14,1.4840,2018-01-05,0.54,2.8510
15,1.4760,2018-01-04,1.03,2.8430
16,1.4610,2018-01-03,0.55,2.8280
17,1.4530,2018-01-02,0.62,2.8200
18,1.4440,2017-12-31,,2.8110
19,1.4440,2017-12-29,-0.21,2.8110
0,1.4470,2017-12-28,2.26,2.8140
1,1.4150,2017-12-27,-1.87,2.7820
2,1.4420,2017-12-26,-0.69,2.8090
3,1.4520,2017-12-25,-0.07,2.8190
4,1.4530,2017-12-22,-0.75,2.8200
5,1.4640,2017-12-21,0.83,2.8310
6,1.4520,2017-12-20,1.54,2.8190
7,1.4300,2017-12-19,0.99,2.7970
8,1.4160,2017-12-18,0.93,2.7830
9,1.4030,2017-12-15,-0.99,2.7700
10,1.4170,2017-12-14,0.00,2.7840
11,1.4170,2017-12-13,2.53,2.7840
12,1.3820,2017-12-12,-0.29,2.7490
13,1.3860,2017-12-11,3.20,2.7530
14,1.3430,2017-12-08,1.90,2.7100
15,1.3180,2017-12-07,-1.79,2.6850
16,1.3420,2017-12-06,-0.15,2.7090
17,1.3440,2017-12-05,-0.44,2.7110
18,1.3500,2017-12-04,2.35,2.7170
19,1.3190,2017-12-01,0.38,2.6860
0,1.3140,2017-11-30,-1.50,2.6810
1,1.3340,2017-11-29,-1.62,2.7010
2,1.3560,2017-11-28,1.65,2.7230
3,1.3340,2017-11-27,-2.20,2.7010
4,1.3640,2017-11-24,0.00,2.7310
5,1.3640,2017-11-23,-4.28,2.7310
6,1.4250,2017-11-22,-2.06,2.7920
7,1.4550,2017-11-21,2.11,2.8220
8,1.4250,2017-11-20,0.85,2.7920
9,1.4130,2017-11-17,-1.19,2.7800
10,1.4300,2017-11-16,2.36,2.7970
11,1.3970,2017-11-15,0.14,2.7640
12,1.3950,2017-11-14,-1.55,2.7620
13,1.4170,2017-11-13,-0.35,2.7840
14,1.4220,2017-11-10,2.01,2.7890
15,1.3940,2017-11-09,0.50,2.7610
16,1.3870,2017-11-08,-1.07,2.7540
17,1.4020,2017-11-07,-0.14,2.7690
18,1.4040,2017-11-06,2.93,2.7710
19,1.3640,2017-11-03,-0.44,2.7310
0,1.3700,2017-11-02,0.81,2.7370
1,1.3590,2017-11-01,-0.44,2.7260
2,1.3650,2017-10-31,0.07,2.7320
3,1.3640,2017-10-30,0.07,2.7310
4,1.3630,2017-10-27,1.19,2.7300
5,1.3470,2017-10-26,0.97,2.7140
6,1.3340,2017-10-25,1.68,2.7010
7,1.3120,2017-10-24,0.69,2.6790
8,1.3030,2017-10-23,1.40,2.6700
9,1.2850,2017-10-20,-0.70,2.6520
10,1.2940,2017-10-19,0.23,2.6610
11,1.2910,2017-10-18,0.94,2.6580
12,1.2790,2017-10-17,0.87,2.6460
13,1.2680,2017-10-16,-0.86,2.6350
14,1.2790,2017-10-13,0.00,2.6460
15,1.2790,2017-10-12,0.24,2.6460
16,1.2760,2017-10-11,1.43,2.6430
17,1.2580,2017-10-10,1.21,2.6250
18,1.2430,2017-10-09,2.39,2.6100
19,1.2140,2017-09-29,0.66,2.5810
0,1.2060,2017-09-28,0.42,2.5730
1,1.2010,2017-09-27,0.17,2.5680
2,1.1990,2017-09-26,-0.33,2.5660
3,1.2030,2017-09-25,0.25,2.5700
4,1.2000,2017-09-22,0.50,2.5670
5,1.1940,2017-09-21,0.08,2.5610
6,1.1930,2017-09-20,0.34,2.5600
7,1.1890,2017-09-19,-0.92,2.5560
8,1.2000,2017-09-18,1.27,2.5670
9,1.1850,2017-09-15,0.68,2.5520
10,1.1770,2017-09-14,0.00,2.5440
11,1.1770,2017-09-13,1.55,2.5440
12,1.1590,2017-09-12,-0.26,2.5260
13,1.1620,2017-09-11,0.35,2.5290
14,1.1580,2017-09-08,-0.60,2.5250
15,1.1650,2017-09-07,-0.85,2.5320
16,1.1750,2017-09-06,-0.25,2.5420
17,1.1780,2017-09-05,0.34,2.5450
18,1.1740,2017-09-04,-0.68,2.5410
19,1.1820,2017-09-01,0.17,2.5490
0,1.1800,2017-08-31,-0.17,2.5470
1,1.1820,2017-08-30,0.85,2.5490
2,1.1720,2017-08-29,-0.93,2.5390
3,1.1830,2017-08-28,0.85,2.5500
4,1.1730,2017-08-25,0.43,2.5400
5,1.1680,2017-08-24,-0.17,2.5350
6,1.1700,2017-08-23,0.17,2.5370
7,1.1680,2017-08-22,-0.17,2.5350
8,1.1700,2017-08-21,0.78,2.5370
9,1.1610,2017-08-18,-0.17,2.5280
10,1.1630,2017-08-17,-0.26,2.5300
11,1.1660,2017-08-16,-0.34,2.5330
12,1.1700,2017-08-15,-0.26,2.5370
13,1.1730,2017-08-14,1.38,2.5400
14,1.1570,2017-08-11,-1.28,2.5240
15,1.1720,2017-08-10,-0.34,2.5390
16,1.1760,2017-08-09,1.91,2.5430
17,1.1540,2017-08-08,0.44,2.5210
18,1.1490,2017-08-07,2.13,2.5160
19,1.1250,2017-08-04,-0.53,2.4920
0,1.1310,2017-08-03,-1.48,2.4980
1,1.1480,2017-08-02,-0.69,2.5150
2,1.1560,2017-08-01,0.35,2.5230
3,1.1520,2017-07-31,-0.09,2.5190
4,1.1530,2017-07-28,0.79,2.5200
5,1.1440,2017-07-27,-0.35,2.5110
6,1.1480,2017-07-26,-1.29,2.5150
7,1.1630,2017-07-25,-0.85,2.5300
8,1.1730,2017-07-24,1.65,2.5400
9,1.1540,2017-07-21,0.17,2.5210
10,1.1520,2017-07-20,1.23,2.5190
11,1.1380,2017-07-19,1.07,2.5050
12,1.1260,2017-07-18,-0.18,2.4930
13,1.1280,2017-07-17,-1.66,2.4950
14,1.1470,2017-07-14,0.09,2.5140
15,1.1460,2017-07-13,-0.09,2.5130
16,1.1470,2017-07-12,-0.69,2.5140
17,1.1550,2017-07-11,1.58,2.5220
18,1.1370,2017-07-10,0.26,2.5040
19,1.1340,2017-07-07,-1.13,2.5010
0,1.1470,2017-07-06,-0.52,2.5140
1,1.1530,2017-07-05,1.41,2.5200
2,1.1370,2017-07-04,-1.56,2.5040
3,1.1550,2017-07-03,-1.45,2.5220
4,1.1720,2017-06-30,0.86,2.5390
5,1.1620,2017-06-29,0.17,2.5290
6,1.1600,2017-06-28,-1.61,2.5270
7,1.1790,2017-06-27,0.00,2.5460
8,1.1790,2017-06-26,1.46,2.5460
9,1.1620,2017-06-23,1.31,2.5290
10,1.1470,2017-06-22,-0.69,2.5140
11,1.1550,2017-06-21,2.12,2.5220
12,1.1310,2017-06-20,-0.26,2.4980
13,1.1340,2017-06-19,1.25,2.5010
14,1.1200,2017-06-16,-0.44,2.4870
15,1.1250,2017-06-15,-0.09,2.4920
16,1.1260,2017-06-14,-1.57,2.4930
17,1.1440,2017-06-13,0.00,2.5110
18,1.1440,2017-06-12,0.97,2.5110
19,1.1330,2017-06-09,0.44,2.5000
0,1.1280,2017-06-08,1.26,2.4950
1,1.1140,2017-06-07,1.92,2.4810
2,1.0930,2017-06-06,1.67,2.4600
3,1.0750,2017-06-05,-0.37,2.4420
4,1.0790,2017-06-02,-0.83,2.4460
5,1.0880,2017-06-01,0.46,2.4550
6,1.0830,2017-05-31,-0.18,2.4500
7,1.0850,2017-05-26,0.18,2.4520
8,1.0830,2017-05-25,-0.18,2.4500
9,1.0850,2017-05-24,-0.82,2.4520
10,1.0940,2017-05-23,1.20,2.4610
11,1.0810,2017-05-22,0.56,2.4480
12,1.0750,2017-05-19,0.75,2.4420
13,1.0670,2017-05-18,-0.19,2.4340
14,1.0690,2017-05-17,-1.11,2.4360
15,1.0810,2017-05-16,2.08,2.4480
16,1.0590,2017-05-15,0.38,2.4260
17,1.0550,2017-05-12,0.38,2.4220
18,1.0510,2017-05-11,1.84,2.4180
19,1.0320,2017-05-10,0.10,2.3990
0,1.0310,2017-05-09,0.59,2.3980
1,1.0250,2017-05-08,-2.47,2.3920
2,1.0510,2017-05-05,-0.28,2.4180
3,1.0540,2017-05-04,-0.09,2.4210
4,1.0550,2017-05-03,0.00,2.4220
5,1.0550,2017-05-02,0.00,2.4220
6,1.0550,2017-04-28,-0.94,2.4220
7,1.0650,2017-04-27,0.28,2.4320
8,1.0620,2017-04-26,-0.56,2.4290
9,1.0680,2017-04-25,2.40,2.4350
10,1.0430,2017-04-24,-1.04,2.4100
11,1.0540,2017-04-21,-0.19,2.4210
12,1.0560,2017-04-20,1.73,2.4230
13,1.0380,2017-04-19,0.39,2.4050
14,1.0340,2017-04-18,1.57,2.4010
15,1.0180,2017-04-17,0.89,2.3850
16,1.0090,2017-04-14,-0.88,2.3760
17,1.0180,2017-04-13,0.89,2.3850
18,1.0090,2017-04-12,0.00,2.3760
19,1.0090,2017-04-11,-0.69,2.3760
0,1.0160,2017-04-10,-0.59,2.3830
1,1.0220,2017-04-07,0.29,2.3890
2,1.0190,2017-04-06,0.00,2.3860
3,1.0190,2017-04-05,0.00,2.3860
4,1.0190,2017-03-31,1.39,2.3860
5,1.0050,2017-03-30,-0.79,2.3720
6,1.0130,2017-03-29,0.30,2.3800
7,1.0100,2017-03-28,-0.20,2.3770
8,1.0120,2017-03-27,-1.17,2.3790
9,1.0240,2017-03-24,0.29,2.3910
10,1.0210,2017-03-23,-0.10,2.3880
11,1.0220,2017-03-22,1.59,2.3890
12,1.0060,2017-03-21,1.31,2.3730
13,0.9930,2017-03-20,0.40,2.3600
14,0.9890,2017-03-17,-0.50,2.3560
15,0.9940,2017-03-16,-0.10,2.3610
16,0.9950,2017-03-15,0.61,2.3620
17,0.9890,2017-03-14,-0.50,2.3560
18,0.9940,2017-03-13,1.22,2.3610
19,0.9820,2017-03-10,0.82,2.3490
0,0.9740,2017-03-09,-0.71,2.3410
1,0.9810,2017-03-08,-0.51,2.3480
2,0.9860,2017-03-07,1.02,2.3530
3,0.9760,2017-03-06,1.46,2.3430
4,0.9620,2017-03-03,0.63,2.3290
5,0.9560,2017-03-02,-0.42,2.3230
6,0.9600,2017-03-01,0.31,2.3270
7,0.9570,2017-02-28,0.31,2.3240
8,0.9540,2017-02-27,-1.24,2.3210
9,0.9660,2017-02-24,-0.21,2.3330
10,0.9680,2017-02-23,0.21,2.3350
11,0.9660,2017-02-22,0.21,2.3330
12,0.9640,2017-02-21,0.52,2.3310
13,0.9590,2017-02-20,2.57,2.3260
14,0.9350,2017-02-17,0.11,2.3020
15,0.9340,2017-02-16,0.76,2.3010
16,0.9270,2017-02-15,-0.75,2.2940
17,0.9340,2017-02-14,-0.11,2.3010
18,0.9350,2017-02-13,0.97,2.3020
19,0.9260,2017-02-10,-0.22,2.2930
0,0.9280,2017-02-09,0.32,2.2950
1,0.9250,2017-02-08,0.43,2.2920
2,0.9210,2017-02-07,-0.32,2.2880
3,0.9240,2017-02-06,0.87,2.2910
4,0.9160,2017-02-03,-0.43,2.2830
5,0.9200,2017-01-26,0.33,2.2870
6,0.9170,2017-01-25,0.33,2.2840
7,0.9140,2017-01-24,-0.11,2.2810
8,0.9150,2017-01-23,0.22,2.2820
9,0.9130,2017-01-20,1.00,2.2800
10,0.9040,2017-01-19,-0.11,2.2710
11,0.9050,2017-01-18,0.00,2.2720
12,0.9050,2017-01-17,0.56,2.2720
13,0.9000,2017-01-16,-1.21,2.2670
14,0.9110,2017-01-13,-0.33,2.2780
15,0.9140,2017-01-12,-0.54,2.2810
16,0.9190,2017-01-11,-0.86,2.2860
17,0.9270,2017-01-10,-0.54,2.2940
18,0.9320,2017-01-09,0.00,2.2990
19,0.9320,2017-01-06,-0.53,2.2990
0,0.9370,2017-01-05,-0.32,2.3040
1,0.9400,2017-01-04,1.18,2.3070
2,0.9290,2017-01-03,0.54,2.2960
3,0.9240,2016-12-31,0.00,2.2910
4,0.9240,2016-12-30,0.43,2.2910
5,0.9200,2016-12-29,0.33,2.2870
6,0.9170,2016-12-28,-0.22,2.2840
7,0.9190,2016-12-27,-0.11,2.2860
8,0.9200,2016-12-26,0.44,2.2870
9,0.9160,2016-12-23,-0.87,2.2830
10,0.9240,2016-12-22,-0.43,2.2910
11,0.9280,2016-12-21,0.65,2.2950
12,0.9220,2016-12-20,0.00,2.2890
13,0.9220,2016-12-19,-0.22,2.2890
